Class,Order,Family,Genus-Species,Part,Patient Name,Image Type,Scan Options,Pixel Spacing (mm),Number of DICOM Files,Size of All DICOM Files (MB),File Path in ZIP
Aves,Casuariiformes,Casuariidae,Casuarius_casuarius-southern_cassowary,TMT,CASUARIUS_TMT,AXIAL,AXIAL MODE,0.191406,232,116,Casuariiformes\Casuariidae\Casuarius_casuarius-southern_cassowary\CT\UMZC Casuarius\TMT
Aves,Casuariiformes,Casuariidae,Casuarius_casuarius-southern_cassowary,TMT,CASUARIUS_TMT,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Casuariiformes\Casuariidae\Casuarius_casuarius-southern_cassowary\CT\UMZC Casuarius\TMT
Aves,Casuariiformes,Casuariidae,Casuarius_casuarius-southern_cassowary,femur,CASUARIUS_FEMUR,AXIAL,AXIAL MODE,0.197266,184,92,Casuariiformes\Casuariidae\Casuarius_casuarius-southern_cassowary\CT\UMZC Casuarius\femur
Aves,Casuariiformes,Casuariidae,Casuarius_casuarius-southern_cassowary,femur,CASUARIUS_FEMUR,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Casuariiformes\Casuariidae\Casuarius_casuarius-southern_cassowary\CT\UMZC Casuarius\femur
Aves,Casuariiformes,Casuariidae,Casuarius_casuarius-southern_cassowary,tibia,CASUARIUS_TBT,AXIAL,AXIAL MODE,0.283203,312,156,Casuariiformes\Casuariidae\Casuarius_casuarius-southern_cassowary\CT\UMZC Casuarius\tibia
Aves,Casuariiformes,Casuariidae,Casuarius_casuarius-southern_cassowary,tibia,CASUARIUS_TBT,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Casuariiformes\Casuariidae\Casuarius_casuarius-southern_cassowary\CT\UMZC Casuarius\tibia
Aves,Rheiformes,Rheidae,Rhea_americana-greater_rhea,TMT,RHEA_TMT,AXIAL,AXIAL MODE,0.199219,288,144,Rheiformes\Rheidae\Rhea_americana-greater_rhea\CT\UMZC Rhea\TMT
Aves,Rheiformes,Rheidae,Rhea_americana-greater_rhea,TMT,RHEA_TMT,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Rheiformes\Rheidae\Rhea_americana-greater_rhea\CT\UMZC Rhea\TMT
Aves,Rheiformes,Rheidae,Rhea_americana-greater_rhea,fibula,RHEA_FIBULA,AXIAL,AXIAL MODE,0.1875,192,96,Rheiformes\Rheidae\Rhea_americana-greater_rhea\CT\UMZC Rhea\fibula
Aves,Rheiformes,Rheidae,Rhea_americana-greater_rhea,fibula,RHEA_FIBULA,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Rheiformes\Rheidae\Rhea_americana-greater_rhea\CT\UMZC Rhea\fibula
Aves,Rheiformes,Rheidae,Rhea_americana-greater_rhea,tibia,RHEA_TBT,AXIAL,AXIAL MODE,0.21875,312,156,Rheiformes\Rheidae\Rhea_americana-greater_rhea\CT\UMZC Rhea\tibia
Aves,Rheiformes,Rheidae,Rhea_americana-greater_rhea,tibia,RHEA_TBT,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Rheiformes\Rheidae\Rhea_americana-greater_rhea\CT\UMZC Rhea\tibia
